# date and time: 2022-05-23T10:01:54.776
# host: fluda.cs.umt.edu with 24  processes: 
# 8395.285683 seconds 
# funcs: Func[Func(&, 2, "AND"), Func(|, 2, "OR"), Func(xor, 2, "XOR"), Func(Main.CGP.Nand, 2, "NAND"), Func(Main.CGP.Nor, 2, "NOR")]
# use_lincircuit: true
# maxreps: 200
# iter_maxreps: 100
# numinputs: 4
# numoutputs: 1
# numinstructions: 10
# numregisters: 2
# max_steps: 600000
goal,numinputs,numoutputs,numinstructs,numregisters,maxsteps,ntries,nsuccesses,avg_steps,log_avg_steps,robustness,evo_count,nactive,complexity,degeneracy,sumsteps,sumtries
UInt16[0x1a7a],4,1,10,2,600000,101.0,100.0,124195.285,5.089613594961283,0.2897666666666667,1606.0,0.0,7.724202008651507,0.0,0.0,0.0
UInt16[0x1b16],4,1,10,2,600000,107.0,100.0,161307.84,5.206603414873964,0.236,2091.0,0.0,7.999930301215995,0.0,0.0,0.0
UInt16[0x1b4d],4,1,10,2,600000,140.5,100.0,392995.065,5.594362240241825,0.2066,2538.0,0.0,7.772735674951063,0.0,0.0,0.0
UInt16[0x1b58],4,1,10,2,600000,108.5,100.0,191347.03999999998,5.280867390461697,0.22733333333333333,2175.0,0.0,8.020508331649893,0.0,0.0,0.0
UInt16[0x1b91],4,1,10,2,600000,100.0,100.0,60361.975,4.775519629822952,0.27749999999999997,1896.0,0.0,7.892655040167476,0.0,0.0,0.0
UInt16[0x1c4c],4,1,10,2,600000,100.0,100.0,46601.02,4.666002579230755,0.4125,1126.0,0.0,7.213225248347271,0.0,0.0,0.0
UInt16[0x1e63],4,1,10,2,600000,106.0,100.0,106098.60500000001,5.025496656952474,0.22223333333333334,2274.0,0.0,8.108292020086111,0.0,0.0,0.0
UInt16[0x20c0],4,1,10,2,600000,100.0,100.0,9074.25,3.9478162432694344,0.4806666666666667,717.0,0.0,6.572737987606022,0.0,0.0,0.0
UInt16[0x213c],4,1,10,2,600000,100.0,100.0,28976.519999999997,4.46073338708094,0.3332666666666667,1484.0,0.0,7.6611501682518295,0.0,0.0,0.0
UInt16[0x217f],4,1,10,2,600000,100.0,100.0,102425.88,5.009674402128308,0.353,1488.0,0.0,7.189626307450373,0.0,0.0,0.0
UInt16[0x21b9],4,1,10,2,600000,105.0,100.0,94769.415,4.974987566194212,0.2649,2139.0,0.0,7.598822126448522,0.0,0.0,0.0
UInt16[0x21e9],4,1,10,2,600000,101.0,100.0,65040.369999999995,4.805692634336241,0.28049999999999997,2053.0,0.0,7.765035186446253,0.0,0.0,0.0
UInt16[0x2396],4,1,10,2,600000,104.0,100.0,185229.47,5.266295388870208,0.2764,1924.0,0.0,8.05724465889412,0.0,0.0,0.0
UInt16[0x23bb],4,1,10,2,600000,100.5,100.0,111767.725,5.047426237667542,0.3691,1236.0,0.0,7.093810968426615,0.0,0.0,0.0
